item_id,app_name,genres,price,release_date,developer
761140,Lost Summoner Kitty,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",4.99,2018-01-04,Kotoshiro
643980,Ironbound,"['Free to Play', 'Indie', 'RPG', 'Strategy']",Free To Play,2018-01-04,Secret Level SRL
670290,Real Pool 3D - Poolians,"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",Free to Play,2017-07-24,Poolians.com
767400,弹炸人2222,"['Action', 'Adventure', 'Casual']",0.99,2017-12-07,彼岸领域
773570,Log Challenge,"['Action', 'Indie', 'Casual', 'Sports']",2.99,2018-01-04,CGPills 
772540,Battle Royale Trainer,"['Action', 'Adventure', 'Simulation']",3.99,2018-01-04,Trickjump Games Ltd
774276,SNOW - All Access Basic Pass,"['Free to Play', 'Indie', 'Simulation', 'Sports']",9.99,2018-01-04,Poppermost Productions
774277,SNOW - All Access Pro Pass,"['Free to Play', 'Indie', 'Simulation', 'Sports']",18.99,2018-01-04,Poppermost Productions
774278,SNOW - All Access Legend Pass,"['Free to Play', 'Indie', 'Simulation', 'Sports']",29.99,2018-01-04,Poppermost Productions
768800,Race,"['Casual', 'Indie', 'Racing', 'Simulation']",1.99,2018-01-04,RewindApp
768570,Uncanny Islands,"['Action', 'Indie', 'Simulation', 'Early Access']",8.99,,Qucheza
724910,Icarus Six Sixty Six,['Casual'],Free,2018-01-04,Titmouse 
770380,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",10.99,2018-01-04,Stegalosaurus Game Development
768880,Beach Rules,"['Casual', 'Indie']",3.99,2018-01-04,Copperpick Studio
765320,Planetarium 2 - Zen Odyssey,"['Casual', 'Indie', 'Simulation']",2.99,2018-01-03,Ghulam Jewel
773650,The first thrust of God,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",1.5899999999999999,2018-01-03,Apillo
774271,SNOW - Starter Pack,"['Free to Play', 'Indie', 'Simulation', 'Sports']",14.99,2018-01-03,Poppermost Productions
773690,The first thrust of God - All Aircrafts,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",1.99,2018-01-03,Apillo
774279,SNOW - Lifetime Pack,"['Free to Play', 'Indie', 'Simulation', 'Sports']",59.99,2018-01-03,Poppermost Productions
772590,After Life VR,"['Early Access', 'Indie']",4.99,2018-01-03,Pablo Rueda Feraud 
640250,Kitty Hawk,"['Early Access', 'Action', 'Adventure', 'Indie', 'Casual']",2.99,2018-01-03,idsibidsi games 
768060,The Warrior Of Treasures,"['Action', 'Adventure', 'Indie']",0.99,2018-01-03,Tero Lunkka
711440,Mortars VR,"['Early Access', 'Strategy', 'Action', 'Indie', 'Casual']",0.99,2018-01-03,Growl Interactive 
775880,RC Plane 3 - Canyon Scenario,"['Racing', 'Simulation', 'Sports']",2.99,2017-12-22,FrozenPepper
775881,RC Plane 3 - F-53B,"['Racing', 'Simulation', 'Sports']",2.99,2017-12-23,FrozenPepper
653960,DinoBlaster,"['Action', 'Indie']",4.99,2018-01-03,Casey Labrack
777910,Robotpencil Presents: Understanding 3D for Concept,[],4.99,2018-01-03,
282010,Carmageddon Max Pack,"['Action', 'Indie', 'Racing']",9.99,1997-06-30,Stainless Games Ltd
70,Half-Life,['Action'],9.99,1998-11-08,Valve
752360,Fallen Mage,"['Action', 'Indie', 'RPG']",1.99,2016-11-25,dev4play
594200,Don't Get Hit In The Face,"['Action', 'Indie']",3.99,2017-03-24,"DracoSoftware, LLC "
